Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Краснодар - Ремонт	ремонт кровли краснодар	Ремонт крыши в Краснодар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnodar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Ремонт	ремонт крыши краснодар	Ремонт крыши в Краснодар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnodar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Ремонт	демонтаж крыши краснодар	Ремонт крыши в Краснодар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnodar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Ремонт	устранение протечек крыши краснодар	Ремонт крыши в Краснодар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnodar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Ремонт	ремонт крыши частного дома краснодар	Ремонт крыши в Краснодар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnodar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Монтаж	монтаж кровли краснодар	Кровля под ключ в Краснодар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnodar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Монтаж	кровельные работы краснодар	Кровля под ключ в Краснодар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnodar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Монтаж	крыша под ключ краснодар	Кровля под ключ в Краснодар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnodar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Монтаж	перекрыть крышу краснодар	Кровля под ключ в Краснодар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnodar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Монтаж	строительство крыши краснодар	Кровля под ключ в Краснодар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnodar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Металлочерепица	монтаж металлочерепицы краснодар	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Металлочерепица	крыша из металлочерепицы краснодар	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Металлочерепица	металлочерепица под ключ краснодар	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Металлочерепица	кровля металлочерепица цена краснодар	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Профнастил	монтаж профнастила на крышу краснодар	Кровля из профнастила	От 1400 руб/м² в Краснодар	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Профнастил	крыша из профнастила краснодар	Кровля из профнастила	От 1400 руб/м² в Краснодар	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Профнастил	перекрыть крышу профлистом краснодар	Кровля из профнастила	От 1400 руб/м² в Краснодар	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Профнастил	кровля профнастил цена краснодар	Кровля из профнастила	От 1400 руб/м² в Краснодар	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Гибкая черепица	монтаж мягкой кровли краснодар	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Гибкая черепица	гибкая черепица монтаж краснодар	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Гибкая черепица	мягкая кровля цена краснодар	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
-	Краснодар - Гибкая черепица	укладка мягкой черепицы краснодар	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	krasnodar.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnodar_tenant1
